Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040211,2022,01,01,26.6,1,N
IDCJAC0010,040211,2022,01,02,28.6,1,N
IDCJAC0010,040211,2022,01,03,30.2,1,N
IDCJAC0010,040211,2022,01,04,31.5,1,N
IDCJAC0010,040211,2022,01,05,29.9,1,N
IDCJAC0010,040211,2022,01,06,30.0,1,N
IDCJAC0010,040211,2022,01,07,27.5,1,N
IDCJAC0010,040211,2022,01,08,27.3,1,N
IDCJAC0010,040211,2022,01,09,29.1,1,N
IDCJAC0010,040211,2022,01,10,30.5,1,N
IDCJAC0010,040211,2022,01,11,29.5,1,N
IDCJAC0010,040211,2022,01,12,29.9,1,N
IDCJAC0010,040211,2022,01,13,,,
IDCJAC0010,040211,2022,01,14,29.6,1,N
IDCJAC0010,040211,2022,01,15,30.8,1,N
IDCJAC0010,040211,2022,01,16,31.3,1,N
IDCJAC0010,040211,2022,01,17,31.8,1,N
IDCJAC0010,040211,2022,01,18,31.2,1,N
IDCJAC0010,040211,2022,01,19,31.5,1,N
IDCJAC0010,040211,2022,01,20,26.0,1,N
IDCJAC0010,040211,2022,01,21,28.5,1,N
IDCJAC0010,040211,2022,01,22,26.8,1,N
IDCJAC0010,040211,2022,01,23,28.6,1,N
IDCJAC0010,040211,2022,01,24,30.3,1,N
